WD22CD_proposed,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E05013714,11682,152,173,167,174,166,203,181,203,245,230,201,183,216,205,195,169,138,130,125,115,92,100,103,122,106,125,120,135,121,126,132,195,177,180,190,201,195,201,167,196,204,196,187,177,183,164,152,172,143,167,163,189,167,165,171,161,183,169,150,139,132,144,113,109,95,82,84,67,58,56,73,51,67,57,45,50,41,45,41,29,36,43,34,28,24,20,19,15,8,13,46
E05013715,17154,220,220,228,218,243,212,206,223,199,199,175,165,152,166,159,171,172,153,155,136,109,129,164,176,195,278,271,332,384,360,355,424,401,340,354,364,318,327,350,341,315,317,285,257,250,256,271,267,240,235,210,261,199,229,221,187,201,175,168,146,163,145,142,140,131,117,119,99,85,110,84,103,114,112,97,79,69,78,72,51,65,61,64,53,65,46,44,34,26,31,121
E05013716,18649,248,242,229,214,219,185,210,207,185,171,150,141,131,138,133,138,138,122,136,210,326,346,386,406,451,451,453,517,531,515,496,531,483,459,480,404,413,415,405,378,313,301,278,279,255,230,210,207,250,255,226,202,212,200,191,153,172,160,133,138,131,126,126,121,95,89,87,88,69,68,63,74,73,61,56,52,54,35,44,31,44,42,40,29,29,25,22,19,18,10,70
E05013717,17462,229,220,248,240,254,265,231,279,250,244,239,203,256,223,218,217,200,255,219,163,148,156,176,207,206,223,173,207,196,200,221,260,232,228,238,258,263,289,258,269,318,313,268,273,289,226,237,237,272,270,212,249,268,255,232,235,292,276,262,215,205,206,182,177,151,161,153,137,119,125,117,114,121,117,87,67,90,77,60,63,55,65,72,78,52,53,52,44,35,28,139
E05013718,15539,257,239,251,236,241,250,261,239,242,200,162,162,149,142,141,111,137,102,98,98,102,93,120,142,149,200,225,214,254,269,286,329,299,312,333,336,346,370,360,370,336,340,330,297,272,246,229,203,231,207,194,220,179,195,191,183,180,179,182,144,150,144,131,133,119,84,117,92,89,99,68,67,85,75,58,67,63,53,53,56,40,41,37,34,29,31,32,39,20,13,55
E05013719,15617,173,154,172,163,162,161,200,164,176,165,178,201,203,198,165,171,148,143,155,170,211,227,254,327,350,351,322,338,377,386,430,397,385,393,348,321,300,292,253,243,256,255,225,232,210,194,191,193,208,191,212,192,172,172,167,190,193,185,175,132,141,140,132,121,105,94,102,82,81,73,44,61,50,41,41,49,47,54,32,33,22,17,22,18,16,24,16,21,12,11,43
E05013720,18224,232,215,238,228,248,297,247,294,272,304,302,304,307,325,319,263,252,246,233,182,157,173,184,207,170,209,199,175,214,199,238,266,254,249,269,321,324,332,312,329,275,291,263,254,297,251,250,278,281,313,262,266,272,265,251,243,250,216,245,207,196,159,187,142,155,142,122,103,106,117,91,91,102,99,82,76,66,75,74,67,70,62,68,59,60,61,46,37,22,29,139
E05013721,14506,176,158,188,167,132,164,184,175,198,149,161,164,149,148,153,149,111,124,106,124,154,149,234,327,375,374,373,399,385,444,438,454,395,382,387,322,342,292,302,262,256,216,198,202,169,173,159,176,179,170,154,156,135,158,149,157,152,147,131,113,108,103,92,73,88,56,41,50,44,44,59,60,48,47,39,29,35,32,22,23,26,26,18,18,9,13,21,13,22,10,17
E05013722,16314,243,252,251,243,214,247,239,266,267,222,222,220,258,200,189,149,137,133,124,113,108,113,126,146,169,220,262,251,317,277,323,342,379,383,340,289,299,313,352,357,288,287,293,267,256,235,254,251,256,237,234,193,183,201,212,194,182,160,173,181,154,134,117,141,113,104,116,103,84,100,92,86,80,88,69,54,64,58,46,43,45,35,45,25,40,26,24,23,23,24,66
E05013723,15717,213,230,232,222,236,225,206,224,229,186,186,200,174,187,185,177,170,185,172,119,119,126,142,155,170,180,197,202,217,218,209,261,244,261,266,312,300,295,282,292,280,281,269,248,228,233,200,195,232,236,208,190,216,187,240,236,192,204,192,172,207,175,157,162,182,137,147,104,86,107,101,116,102,113,80,78,73,74,69,50,65,67,62,49,32,44,34,38,29,25,107
E05013724,20631,330,289,311,269,265,240,257,291,262,254,276,245,273,222,242,271,283,277,272,188,168,193,210,234,283,236,270,294,301,328,382,400,381,380,380,447,403,390,387,393,401,407,369,332,307,293,263,294,289,297,256,252,254,265,266,315,300,293,296,250,219,217,206,185,165,113,111,113,104,104,98,97,107,103,74,58,61,60,67,58,61,61,59,52,35,48,33,29,23,24,110
E05013725,16700,202,215,207,241,222,210,179,181,222,215,168,156,183,164,173,177,134,135,147,129,162,182,234,287,304,326,314,300,383,372,312,314,356,327,336,319,300,317,307,320,284,317,272,254,292,216,198,259,259,221,221,215,228,229,226,205,206,195,182,172,159,130,141,122,99,114,111,110,103,98,79,77,80,80,70,65,68,63,50,53,53,48,45,46,45,24,38,11,17,20,98
E05013726,16080,231,229,204,224,206,211,245,225,240,211,203,198,195,198,176,164,161,148,116,119,96,98,135,183,181,182,225,234,258,270,248,310,284,293,288,310,355,311,294,363,330,327,315,291,264,256,251,240,241,227,234,196,215,203,182,208,210,191,188,171,132,143,145,152,129,118,105,111,97,107,95,88,84,113,77,73,65,69,67,51,63,57,60,43,40,47,27,26,28,28,78
E05013727,8043,123,123,103,104,93,67,80,76,57,69,65,72,51,69,41,53,41,47,53,68,90,103,127,178,218,218,247,289,284,326,258,279,297,260,247,202,216,191,183,134,142,139,113,114,83,80,91,82,74,91,77,88,81,64,62,59,55,57,43,46,34,46,33,43,41,49,34,28,20,30,27,25,18,14,14,14,10,14,11,18,12,10,7,5,6,3,10,3,1,3,17
E05013728,9693,132,109,121,106,116,117,135,135,128,132,118,118,117,131,122,148,120,110,106,105,120,131,146,171,200,223,197,253,211,212,218,230,189,205,187,196,197,206,215,162,168,165,153,131,157,129,124,125,126,123,102,113,90,108,112,115,105,96,96,82,87,70,61,67,61,56,43,47,39,30,26,27,44,23,13,26,24,20,24,17,35,22,19,15,11,10,10,10,7,4,30
E05013729,19216,254,285,293,254,272,278,287,290,305,254,237,226,278,211,218,169,176,166,168,135,131,155,176,196,214,221,212,270,294,294,330,371,375,403,382,411,352,422,378,375,363,381,333,320,296,302,301,293,298,322,233,299,232,273,254,236,277,250,230,176,162,160,145,172,143,149,130,124,112,117,106,103,118,121,81,91,69,69,77,70,69,63,52,32,46,42,38,31,21,15,101
E05013730,19234,348,342,387,368,341,248,246,262,245,224,229,209,219,187,227,200,203,180,194,148,150,156,168,213,225,281,263,308,314,327,337,397,379,366,385,398,388,387,350,379,382,356,317,341,293,257,264,280,267,281,263,273,265,254,245,285,238,267,249,224,163,155,184,159,139,120,100,85,89,91,72,74,91,65,56,50,58,50,45,48,52,65,51,54,50,47,47,34,42,25,94
E05013731,17377,222,265,225,237,256,213,240,240,221,202,235,199,222,214,206,177,160,153,140,128,141,126,159,176,200,242,239,245,305,245,267,319,298,302,303,324,331,334,345,348,387,337,291,275,284,247,261,248,244,252,244,253,231,235,261,219,235,203,202,187,186,153,148,163,152,128,140,113,118,119,114,109,106,111,92,87,64,55,73,59,55,63,61,57,55,51,36,37,28,35,109
E05013732,17471,211,203,236,213,220,209,212,220,226,197,213,205,175,212,169,144,146,136,137,116,185,222,269,294,364,335,345,363,419,415,467,482,456,418,419,301,312,303,298,312,283,275,246,256,249,215,226,280,224,217,218,204,217,191,214,231,199,200,174,167,166,160,133,150,148,118,116,103,91,98,78,72,66,84,52,49,49,51,42,40,43,39,36,28,28,24,24,19,16,16,67
